sample_id,defense,detection_threshold,accepted_after_attack,is_attack_detected,n_squeezers_detected,max_sim_diff,risk_score_add,lr_sim_original,lr_sim_squeezed,lr_sim_diff,lr_detected,cd_sim_original,cd_sim_squeezed,cd_sim_diff,cd_detected,mf_sim_original,mf_sim_squeezed,mf_sim_diff,mf_detected,defense_time_sec
vf_5cd9fd7e47e8,feature_squeezing,0.05,True,True,2,0.45273562,20,0.59839737,0.14566176,0.45273562,True,0.59839737,0.54327035,0.05512702,True,0.59839737,0.54979587,0.04860151,False,0.347463
vf_ec206adff666,feature_squeezing,0.05,True,True,3,0.34339407,30,0.67741048,0.33401641,0.34339407,True,0.67741048,0.58866811,0.08874238,True,0.67741048,0.57279867,0.10461181,True,0.357903
vf_bbeaebe04885,feature_squeezing,0.05,True,True,2,0.51962888,20,0.76400495,0.24437606,0.51962888,True,0.76400495,0.71260983,0.05139512,True,0.76400495,0.7238273,0.04017764,False,0.361207
vf_7652d6a8e675,feature_squeezing,0.05,True,True,3,0.20117402,30,0.51003885,0.30886483,0.20117402,True,0.51003885,0.44140142,0.06863743,True,0.51003885,0.44483703,0.06520182,True,0.358838
vf_f6bada306d92,feature_squeezing,0.05,True,True,2,0.18401486,20,0.49414748,0.31013262,0.18401486,True,0.49414748,0.42266887,0.07147861,True,0.49414748,0.45580679,0.03834069,False,0.348311
vf_53873bf16646,feature_squeezing,0.05,True,True,3,0.40040138,30,0.78419292,0.38379154,0.40040138,True,0.78419292,0.71809757,0.06609535,True,0.78419292,0.7270599,0.05713302,True,0.340794
vf_5a83e8acf964,feature_squeezing,0.05,False,True,3,0.39901668,30,0.44419223,0.04517555,0.39901668,True,0.44419223,0.37945816,0.06473407,True,0.44419223,0.38771015,0.05648208,True,0.358325
vf_05ba8a308d75,feature_squeezing,0.05,True,True,2,0.59148222,20,0.73503917,0.14355695,0.59148222,True,0.73503917,0.67858756,0.05645162,True,0.73503917,0.69235015,0.04268903,False,0.351611
vf_b4ebef03d306,feature_squeezing,0.05,True,True,3,0.41495422,30,0.73903334,0.32407913,0.41495422,True,0.73903334,0.68045688,0.05857646,True,0.73903334,0.63732088,0.10171247,True,0.349657
vf_e220046b18ce,feature_squeezing,0.05,True,True,3,0.32379819,30,0.56719261,0.24339442,0.32379819,True,0.56719261,0.5071246,0.06006801,True,0.56719261,0.46777487,0.09941775,True,0.34384
vf_6e30a0127ed0,feature_squeezing,0.05,False,True,3,0.36332557,30,0.42853504,0.06520947,0.36332557,True,0.42853504,0.37041435,0.0581207,True,0.42853504,0.31896383,0.10957122,True,0.349794
vf_a979d26e1a66,feature_squeezing,0.05,False,True,3,0.17100137,30,0.37494484,0.20394346,0.17100137,True,0.37494484,0.31251439,0.06243044,True,0.37494484,0.31895313,0.05599171,True,0.349122
vf_2bdece140a8f,feature_squeezing,0.05,True,True,2,0.3381207,20,0.66562909,0.32750839,0.3381207,True,0.66562909,0.589683,0.07594609,True,0.66562909,0.62711948,0.03850961,False,0.366229
vf_3ea6819ccdfe,feature_squeezing,0.05,True,True,3,0.38782427,30,0.56291711,0.17509285,0.38782427,True,0.56291711,0.45885068,0.10406643,True,0.56291711,0.49625725,0.06665987,True,0.355753
vf_ec311dd6967c,feature_squeezing,0.05,True,True,2,0.46182029,20,0.6745736,0.21275331,0.46182029,True,0.6745736,0.65957654,0.01499707,False,0.6745736,0.58709782,0.08747578,True,0.342238
vf_e7897ae417d0,feature_squeezing,0.05,False,True,3,0.39712859,30,0.45378464,0.05665606,0.39712859,True,0.45378464,0.3963334,0.05745125,True,0.45378464,0.38165283,0.07213181,True,0.336951
vf_44fcd2d6e120,feature_squeezing,0.05,True,True,2,0.2571699,20,0.69437557,0.43720567,0.2571699,True,0.69437557,0.64246762,0.05190796,True,0.69437557,0.65016758,0.04420799,False,0.344212
vf_369a060108c8,feature_squeezing,0.05,True,True,3,0.30021489,30,0.57746184,0.27724695,0.30021489,True,0.57746184,0.5120095,0.06545234,True,0.57746184,0.49681413,0.08064771,True,0.347681
vf_e4724842b3b3,feature_squeezing,0.05,True,True,2,0.42667229,20,0.60832047,0.18164818,0.42667229,True,0.60832047,0.56249058,0.04582989,False,0.60832047,0.5504387,0.05788177,True,0.363068
vf_018e3df2e135,feature_squeezing,0.05,True,True,1,0.23418412,10,0.65958399,0.42539987,0.23418412,True,0.65958399,0.61927438,0.04030961,False,0.65958399,0.61674589,0.0428381,False,0.356214
vf_7b46e66fb249,feature_squeezing,0.05,True,True,3,0.26937163,30,0.73266679,0.46329516,0.26937163,True,0.73266679,0.6743117,0.05835509,True,0.73266679,0.63397098,0.09869581,True,0.326399
vf_a034b22c4586,feature_squeezing,0.05,True,True,2,0.54187644,20,0.82533801,0.28346157,0.54187644,True,0.82533801,0.79441094,0.03092706,False,0.82533801,0.75537086,0.06996715,True,0.327319
vf_10244b48ba4d,feature_squeezing,0.05,False,True,3,0.31440352,30,0.36965066,0.05524714,0.31440352,True,0.36965066,0.26630026,0.1033504,True,0.36965066,0.28662363,0.08302703,True,0.360275
vf_d12e13d84c24,feature_squeezing,0.05,True,True,2,0.26512879,20,0.65506887,0.38994008,0.26512879,True,0.65506887,0.6218816,0.03318727,False,0.65506887,0.59321505,0.06185383,True,0.332162
